"models","model_times","MAE","RMSE","Rsquared","Rsquared_adj"
"lm",0.0234461625417074,255.91951549361,332.557569222953,0.936001033979888,0.936000899986804
"glm",0.0887769897778829,255.91951549361,332.557569222953,0.936001033979888,0.936000899986804
"dt",9.74464383522669,122.268769236923,204.075958263445,0.975899670948919,0.975899620490644
"df",10.9544883330663,141.835391131653,227.294202760383,0.970103799237782,0.970103736644831
"bdt",27.4293123364449,127.798704547153,209.960386558067,0.974489791356599,0.974489737946493
