"","models","Fold1_R2adj","R2adj_Fold2","R2adj_Fold3","R2adj_Fold4","R2adj_Fold5","R2adj_Fold6","R2adj_Fold7","R2adj_Fold8","R2adj_Fold9","R2adj_Fold10"
"1","lm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","glm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","dt",0.976543549577762,0.976603563446696,0.976286243653503,0.976144015256381,0.976404342728981,0.97623656651432,0.976281768094613,0.976346198572456,0.976320830327312,0.976232673828599
"4","df",0.969701088428686,0.970040112201431,0.970969603690936,0.969944556995074,0.969502654070641,0.970351164398187,0.97016456787216,0.970858429243567,0.969224859089471,0.969485863027612
"5","bdt",0.975712495491813,0.975530998010213,0.975318388955677,0.975636196202961,0.975606736410492,0.975577601525324,0.97577906587752,0.975534698567212,0.975951338332517,0.97613869551466
