"models","model_times","MAE","RMSE","Rsquared","Rsquared_adj"
"lm",0.0327972133954366,255.473161727584,332.024167961806,0.936149143712547,0.936148976608722
"glm",0.119487877686818,255.473161727584,332.024167961806,0.936149143712547,0.936148976608722
"dt",10.1100017507871,120.467967342807,200.884895785472,0.976626599544199,0.976626538373765
"df",7.27419790029526,144.07107624721,229.081887271633,0.969604531871002,0.969604452323142
"bdt",29.2261335452398,124.954947699552,204.758677280905,0.975716461954673,0.975716398402321
